Source,Target,Weight
0,0,108130
0,4,18482
0,1,3613
0,3,18075
0,5,28015
0,2,5
1,1,5642
1,4,3319
1,0,3613
1,3,1405
1,5,3385
2,2,30
2,0,5
2,3,2
2,4,1
2,5,1
3,3,18346
3,4,7153
3,0,18075
3,5,12401
3,1,1405
3,2,2
4,4,37484
4,5,14783
4,0,18482
4,3,7153
4,1,3319
4,2,1
5,5,68480
5,4,14783
5,0,28015
5,3,12401
5,1,3385
5,2,1
