P1	P2
7316	852547
7316	852565
7316	852589
7316	852606
7316	852612
7316	852617
7316	852637
7316	852639
7316	852666
7316	852672
7316	852680
7316	852686
7316	852721
7316	852730
7316	852740
7316	852742
7316	852757
7316	852798
7316	852804
7316	852818
7316	852834
7316	852853
7316	852858
7316	852873
7316	852875
7316	852876
7316	852883
7316	852945
7316	852977
7316	852979
7316	852986
7316	853033
7316	853059
7316	853077
7316	853091
7316	853097
7316	853106
7316	853118
7316	853133
7316	853149
7316	853168
7316	853169
7316	853181
7316	853199
7316	853202
7316	853203
7316	853262
7316	853267
7316	853272
7316	853288
7316	853290
7316	853301
7316	853311
7316	853319
7316	853333
7316	853357
7316	853365
7316	853395
7316	853418
7316	853427
7316	853433
7316	853447
7316	853463
7316	853465
7316	853503
7316	853527
7316	853536
7316	853540
7316	853573
7316	853585
7316	853587
7316	853604
7316	853610
7316	853612
7316	853639
7316	853641
7316	853653
7316	853664
7316	853668
7316	853670
7316	853674
7316	853699
7316	853705
7316	853712
7316	853715
7316	853757
7316	853758
7316	853777
7316	853781
7316	853782
7316	853789
7316	853800
7316	853802
7316	853805
7316	853830
7316	853853
7316	853860
7316	853870
7316	853895
7316	853906
7316	853920
7316	853922
7316	853969
7316	854026
7316	854029
7316	854040
7316	854068
7316	854072
7316	854096
7316	854119
7316	854130
7316	854168
7316	854192
7316	854205
7316	854206
7316	854229
7316	854231
7316	854263
7316	854266
7316	854284
7316	854295
7316	854301
7316	854303
7316	854306
7316	854322
7316	854324
7316	854328
7316	854335
7316	854373
7316	854417
7316	854428
7316	854433
7316	854435
7316	854444
7316	854462
7316	854474
7316	854489
7316	854495
7316	854505
7316	854509
7316	854513
7316	854556
7316	854557
7316	854651
7316	854658
7316	854664
7316	854670
7316	854673
7316	854681
7316	854682
7316	854698
7316	854714
7316	854732
7316	854734
7316	854735
7316	854736
7316	854741
7316	854758
7316	854768
7316	854770
7316	854778
7316	854812
7316	854872
7316	854882
7316	854889
7316	854902
7316	854913
7316	854914
7316	854915
7316	854925
7316	854932
7316	854957
7316	854980
7316	855003
7316	855114
7316	855135
7316	855143
7316	855149
7316	855176
7316	855221
7316	855224
7316	855237
7316	855238
7316	855243
7316	855254
7316	855257
7316	855266
7316	855277
7316	855283
7316	855284
7316	855291
7316	855302
7316	855303
7316	855306
7316	855319
7316	855342
7316	855343
7316	855346
7316	855350
7316	855355
7316	855362
7316	855363
7316	855386
7316	855415
7316	855426
7316	855429
7316	855474
7316	855478
7316	855512
7316	855532
7316	855541
7316	855543
7316	855552
7316	855584
7316	855619
7316	855625
7316	855628
7316	855645
7316	855655
7316	855661
7316	855669
7316	855691
7316	855725
7316	855732
7316	855750
7316	855753
7316	855771
7316	855786
7316	855836
7316	855838
7316	855841
7316	855844
7316	855845
7316	855849
7316	855866
7316	855881
7316	855883
7316	855886
7316	855903
7316	855943
7316	855972
7316	855998
7316	855999
7316	856024
7316	856027
7316	856044
7316	856059
7316	856079
7316	856103
7316	856147
7316	856148
7316	856154
7316	856188
7316	856195
7316	856217
7316	856226
7316	856241
7316	856247
7316	856271
7316	856287
7316	856289
7316	856294
7316	856311
7316	856313
7316	856321
7316	856351
7316	856352
7316	856371
7316	856404
7316	856411
7316	856412
7316	856413
7316	856420
7316	856422
7316	856423
7316	856438
7316	856461
7316	856494
7316	856504
7316	856507
7316	856517
7316	856579
7316	856584
7316	856589
7316	856597
7316	856607
7316	856610
7316	856626
7316	856638
7316	856656
7316	856665
7316	856677
7316	856682
7316	856700
7316	856705
7316	856716
7316	856731
7316	856744
7316	856746
7316	856748
7316	856766
7316	856767
7316	856792
7316	856794
7316	856800
7316	856805
7316	856824
7316	856825
7316	856839
7316	856846
7316	856856
7316	856862
7316	856870
7316	856912
7316	856924
7317	850620
7317	852822
7321	856862
7322	850620
7322	854781
7322	856799
7324	851549
7324	856852
7329	853041
7329	855204
7334	851549
7334	856852
7341	851549
7415	850500
7428	855104
7428	855725
7486	854198
7514	855005
7529	851676
7917	850713
8148	850633
8454	850539
8454	851015
8454	851928
8848	851991
8848	855003
8872	856746
9097	853002
9099	850620
9266	854261
9525	854371
9525	856303
9569	854327
9627	850728
9627	850966
9627	851714
9627	852095
9627	854142
9657	853169
9833	852945
9978	851015
9978	851424
9978	851624
10133	852200
10291	851518
10291	851531
10403	851273
10482	853409
10482	855066
10537	856607
10564	856862
10565	856862
10923	855055
10963	850422
10987	851424
11267	851135
11267	853566
11267	855101
11267	856105
12028	855411
15507	854708
17918	854016
18747	855689
22213	854149
22919	855892
23019	856799
23130	850577
23175	855201
23197	851431
23327	853290
23435	850633
23435	851120
23435	851639
23435	852066
23435	853071
23435	853089
23435	853708
23435	853858
23435	853900
23435	853933
23435	854322
23435	854673
23435	854940
23435	855002
23435	855053
23435	855468
23435	855583
23435	855655
23435	855699
23435	855731
23435	856572
23524	853681
23524	856570
24413	853503
24413	855224
24413	855661
24413	855836
24666	852088
24680	855201
25275	853358
25636	851870
26088	855420
26754	851424
28969	851797
28969	853463
28969	854543
28969	856746
29101	851415
29104	851752
29104	852440
29979	852834
29979	853712
29979	856607
29979	856731
51025	850694
51028	855101
51062	854336
51062	856140
51343	851691
51343	853760
51667	856607
51720	855491
51720	856061
54472	852200
54700	851723
54700	854518
54778	851666
54778	852793
55236	852822
55355	853817
55364	850504
55364	851082
55364	852680
55364	853249
55364	853250
55737	853287
56424	855836
56438	851631
57602	853784
67177	852673
68051	853409
83506	852088
83506	852696
83506	853818
83506	856866
84313	851135
84313	856105
84930	855565
92345	854702
93973	851810
93973	851811
93973	852294
93973	855700
112869	852295
112869	855700
116549	852107
131118	853340
155908	851774
155908	853016
172915	852309
172915	853455
174357	850727
174357	851492
174357	852688
174357	854598
174357	854622
174357	854627
174357	854695
174357	855675
174357	856448
176018	852309
176018	853455
176369	855892
196483	851993
196483	854301
280993	853861
280993	856386
282322	854279
282322	855201
380351	852376
380481	850585
380481	853369
396422	850504
496247	852376
571871	850455
571871	851212
571871	851394
810468	856870
816225	856607
817206	852876
820924	850562
820924	851641
820924	852349
820924	852376
820924	853562
820924	854650
820924	855350
820924	855535
820924	856032
820924	856835
820924	856887
821259	852763
821455	856831
821784	852902
822566	852763
824425	851415
827331	852088
832243	852088
834503	852385
835972	850562
835972	851641
835972	852349
835972	852376
835972	855350
838260	852793
839332	856918
839620	851000
839690	851000
844224	852793
844304	856607
850290	850438
850290	851643
850290	851762
850290	852596
850290	853604
850290	854033
850290	854087
850290	854253
850290	854372
850290	854813
850290	855113
850292	850445
850292	850459
850292	851173
850292	852410
850292	853269
850293	850292
850293	852091
850293	856058
850293	856484
850295	850420
850295	850879
850295	851051
850295	851071
850295	851086
850295	851596
850295	852074
850295	852637
850295	852989
850295	854057
850295	854153
850295	854158
850295	854821
850295	855607
850295	855642
850295	855709
850295	856036
850295	856589
850296	850577
850296	851142
850296	852785
850296	853529
850296	854201
850296	854504
850296	856612
850296	856702
850297	850344
850297	850430
850297	850447
850297	850639
850297	850768
850297	850774
850297	850793
850297	850803
850297	850810
850297	850826
850297	850879
850297	850935
850297	850973
850297	850995
850297	851030
850297	851071
850297	851126
850297	851163
850297	851209
850297	851222
850297	851261
850297	851263
850297	851266
850297	851306
850297	851344
850297	851399
850297	851441
850297	851457
850297	851520
850297	851521
850297	851562
850297	851577
850297	851699
850297	851727
850297	851740
850297	851772
850297	851803
850297	851811
850297	851813
850297	851910
850297	851934
850297	851962
850297	851965
850297	851975
850297	852049
850297	852096
850297	852100
850297	852134
850297	852171
850297	852190
850297	852241
850297	852258
850297	852283
850297	852295
850297	852352
850297	852383
850297	852385
850297	852390
850297	852395
850297	852444
850297	852532
850297	852577
850297	852580
850297	852660
850297	852673
850297	852700
850297	852750
850297	852822
850297	852864
850297	852881
850297	852915
850297	853091
850297	853100
850297	853113
850297	853244
850297	853293
850297	853327
850297	853353
850297	853355
850297	853374
850297	853400
850297	853500
850297	853747
850297	853794
850297	853808
850297	853876
850297	853957
850297	854150
850297	854190
850297	854191
850297	854247
850297	854315
850297	854384
850297	854415
850297	854480
850297	854550
850297	854818
850297	854868
850297	854876
850297	854915
850297	854941
850297	854945
850297	854966
850297	854976
850297	855061
850297	855067
850297	855102
850297	855228
850297	855238
850297	855264
850297	855404
850297	855418
850297	855427
850297	855448
850297	855459
850297	855460
850297	855471
850297	855520
850297	855595
850297	855616
850297	855626
850297	855701
850297	855739
850297	855744
850297	855792
850297	855907
850297	855950
850297	856052
850297	856099
850297	856129
850297	856130
850297	856183
850297	856237
850297	856254
850297	856263
850297	856293
850297	856305
850297	856315
850297	856404
850297	856418
850297	856425
850297	856426
850297	856559
850297	856598
850297	856648
850297	856680
850297	856715
850297	856736
850297	856755
850297	856763
850297	856801
850297	856817
850297	856831
850297	856908
850297	856911
850297	856920
850297	1466445
850298	850397
850298	850649
850298	850820
850298	850872
850298	850883
850298	850889
850298	850894
850298	850919
850298	851052
850298	851125
850298	851154
850298	851162
850298	851388
850298	851407
850298	851548
850298	851589
850298	851636
850298	851893
850298	851924
850298	852002
850298	852060
850298	852107
850298	852191
850298	852206
850298	852282
850298	852319
850298	852337
850298	852549
850298	852673
850298	852704
850298	852775
850298	852802
850298	852853
850298	852854
850298	852945
850298	852963
850298	852982
850298	852992
850298	853048
850298	853128
850298	853249
850298	853335
850298	853458
850298	853587
850298	853610
850298	853860
850298	853931
850298	853933
850298	853934
850298	853993
850298	854135
850298	854263
850298	854404
850298	854731
850298	854793
850298	855104
850298	855118
850298	855143
850298	855158
850298	855269
850298	855335
850298	855408
850298	855543
850298	855587
850298	855591
850298	855651
850298	855884
850298	855903
850298	855977
850298	856095
850298	856217
850298	856255
850298	856267
850298	856352
850298	856476
850298	856553
850298	856610
850298	856719
850298	856815
850298	856839
850298	856864
850299	852088
850300	850563
850300	851474
850300	851651
850300	851817
850300	851911
850300	851922
